nohup: ignoring input
Training 5000000 games, alpha=0.100, 4 tuples, eval seeds 1..1000 (train seeds from 10000000)
[       0 games |     0s] eval(N=1000): mean=     627 median=    468 max=    3627 | 3072= 0.0% 6144= 0.0%
[  100000 games |    76s] eval(N=1000): mean=    7391 median=   7452 max=   29616 | 3072= 0.0% 6144= 0.0%
[  200000 games |   170s] eval(N=1000): mean=    8243 median=   7647 max=   65337 | 3072= 0.0% 6144= 0.0%
[  300000 games |   270s] eval(N=1000): mean=    9721 median=   8010 max=   29661 | 3072= 0.0% 6144= 0.0%
[  400000 games |   374s] eval(N=1000): mean=   10138 median=   8172 max=   33132 | 3072= 0.0% 6144= 0.0%
[  500000 games |   480s] eval(N=1000): mean=   10088 median=   8436 max=   70338 | 3072= 0.0% 6144= 0.0%
[  600000 games |   585s] eval(N=1000): mean=   10347 median=   8946 max=   33204 | 3072= 0.0% 6144= 0.0%
[  700000 games |   690s] eval(N=1000): mean=    9890 median=   8016 max=   60351 | 3072= 0.0% 6144= 0.0%
[  800000 games |   795s] eval(N=1000): mean=   10662 median=   8994 max=   60687 | 3072= 0.0% 6144= 0.0%
[  900000 games |   899s] eval(N=1000): mean=   10177 median=   8250 max=   62361 | 3072= 0.0% 6144= 0.0%
[ 1000000 games |  1005s] eval(N=1000): mean=   10343 median=   8517 max=   30252 | 3072= 0.0% 6144= 0.0%
[ 1100000 games |  1109s] eval(N=1000): mean=    9989 median=   8037 max=   60186 | 3072= 0.0% 6144= 0.0%
[ 1200000 games |  1213s] eval(N=1000): mean=    9995 median=   8187 max=   30099 | 3072= 0.0% 6144= 0.0%
[ 1300000 games |  1318s] eval(N=1000): mean=   10374 median=   8670 max=   60963 | 3072= 0.0% 6144= 0.0%
[ 1400000 games |  1422s] eval(N=1000): mean=   10399 median=   8205 max=   40125 | 3072= 0.0% 6144= 0.0%
[ 1500000 games |  1527s] eval(N=1000): mean=    9918 median=   8079 max=   30747 | 3072= 0.0% 6144= 0.0%
[ 1600000 games |  1631s] eval(N=1000): mean=   10375 median=   8937 max=   30423 | 3072= 0.0% 6144= 0.0%
[ 1700000 games |  1736s] eval(N=1000): mean=    9781 median=   7968 max=   30159 | 3072= 0.0% 6144= 0.0%
[ 1800000 games |  1840s] eval(N=1000): mean=   10389 median=   8442 max=   31524 | 3072= 0.0% 6144= 0.0%
[ 1900000 games |  1945s] eval(N=1000): mean=   10184 median=   8352 max=   31704 | 3072= 0.0% 6144= 0.0%
[ 2000000 games |  2050s] eval(N=1000): mean=    9903 median=   8076 max=   61362 | 3072= 0.0% 6144= 0.0%
[ 2100000 games |  2156s] eval(N=1000): mean=   10594 median=   8586 max=   33684 | 3072= 0.0% 6144= 0.0%
[ 2200000 games |  2261s] eval(N=1000): mean=    9926 median=   8019 max=   60486 | 3072= 0.0% 6144= 0.0%
[ 2300000 games |  2366s] eval(N=1000): mean=   10304 median=   8013 max=   60423 | 3072= 0.0% 6144= 0.0%
[ 2400000 games |  2471s] eval(N=1000): mean=    9845 median=   8076 max=   30528 | 3072= 0.0% 6144= 0.0%
[ 2500000 games |  2576s] eval(N=1000): mean=   10045 median=   8073 max=   30993 | 3072= 0.0% 6144= 0.0%
[ 2600000 games |  2681s] eval(N=1000): mean=   10330 median=   8094 max=   62928 | 3072= 0.0% 6144= 0.0%
[ 2700000 games |  2786s] eval(N=1000): mean=   10309 median=   8292 max=   40419 | 3072= 0.0% 6144= 0.0%
[ 2800000 games |  2891s] eval(N=1000): mean=   10476 median=   8157 max=   32478 | 3072= 0.0% 6144= 0.0%
[ 2900000 games |  2996s] eval(N=1000): mean=   10383 median=   8424 max=   40251 | 3072= 0.0% 6144= 0.0%
[ 3000000 games |  3101s] eval(N=1000): mean=   10050 median=   8082 max=   32910 | 3072= 0.0% 6144= 0.0%
[ 3100000 games |  3206s] eval(N=1000): mean=   10277 median=   8481 max=   30351 | 3072= 0.0% 6144= 0.0%
[ 3200000 games |  3311s] eval(N=1000): mean=   10206 median=   8013 max=   30042 | 3072= 0.0% 6144= 0.0%
[ 3300000 games |  3416s] eval(N=1000): mean=   10313 median=   8160 max=   62040 | 3072= 0.0% 6144= 0.0%
[ 3400000 games |  3521s] eval(N=1000): mean=   10237 median=   8214 max=   62637 | 3072= 0.0% 6144= 0.0%
[ 3500000 games |  3626s] eval(N=1000): mean=   10370 median=   8316 max=   60108 | 3072= 0.0% 6144= 0.0%
[ 3600000 games |  3731s] eval(N=1000): mean=    9904 median=   7986 max=   29832 | 3072= 0.0% 6144= 0.0%
[ 3700000 games |  3835s] eval(N=1000): mean=   10112 median=   8325 max=   61983 | 3072= 0.0% 6144= 0.0%
[ 3800000 games |  3940s] eval(N=1000): mean=    9885 median=   8004 max=   30207 | 3072= 0.0% 6144= 0.0%
[ 3900000 games |  4045s] eval(N=1000): mean=    9832 median=   7875 max=   60873 | 3072= 0.0% 6144= 0.0%
[ 4000000 games |  4150s] eval(N=1000): mean=    9912 median=   8022 max=   30234 | 3072= 0.0% 6144= 0.0%
[ 4100000 games |  4255s] eval(N=1000): mean=    9973 median=   8073 max=   33276 | 3072= 0.0% 6144= 0.0%
[ 4200000 games |  4360s] eval(N=1000): mean=   10158 median=   7998 max=   63561 | 3072= 0.0% 6144= 0.0%
[ 4300000 games |  4465s] eval(N=1000): mean=    9502 median=   8070 max=   29967 | 3072= 0.0% 6144= 0.0%
[ 4400000 games |  4570s] eval(N=1000): mean=   10105 median=   8205 max=   29691 | 3072= 0.0% 6144= 0.0%
[ 4500000 games |  4676s] eval(N=1000): mean=   10440 median=   8268 max=   62100 | 3072= 0.0% 6144= 0.0%
[ 4600000 games |  4781s] eval(N=1000): mean=   10591 median=   8406 max=   29805 | 3072= 0.0% 6144= 0.0%
[ 4700000 games |  4886s] eval(N=1000): mean=    9513 median=   7932 max=   31671 | 3072= 0.0% 6144= 0.0%
[ 4800000 games |  4992s] eval(N=1000): mean=   10709 median=   8712 max=   60414 | 3072= 0.0% 6144= 0.0%
[ 4900000 games |  5097s] eval(N=1000): mean=   10131 median=   8436 max=   29871 | 3072= 0.0% 6144= 0.0%
[ 5000000 games |  5203s] eval(N=1000): mean=    9868 median=   8043 max=   60264 | 3072= 0.0% 6144= 0.0%
Done in 5204s. Network saved to models/ntuple.gob
