nohup: ignoring input
Training 10000000 games, alpha=0.100, 4 tuples, eval seeds 1..1000 (train seeds from 10000000)
[       0 games |     0s] eval(N=1000): mean=     627 median=    468 max=    3627 | 3072= 0.0% 6144= 0.0%
[  200000 games |   170s] eval(N=1000): mean=    6220 median=   4857 max=   31209 | 3072= 0.0% 6144= 0.0%
[  400000 games |   414s] eval(N=1000): mean=    8190 median=   7917 max=   60147 | 3072= 0.0% 6144= 0.0%
[  600000 games |   677s] eval(N=1000): mean=    8884 median=   8202 max=   29805 | 3072= 0.0% 6144= 0.0%
[  800000 games |   949s] eval(N=1000): mean=   10283 median=   9213 max=   60348 | 3072= 0.0% 6144= 0.0%
[ 1000000 games |  1232s] eval(N=1000): mean=   11118 median=   9321 max=   68595 | 3072= 0.0% 6144= 0.0%
[ 1200000 games |  1525s] eval(N=1000): mean=   12269 median=   9525 max=   63105 | 3072= 0.0% 6144= 0.0%
[ 1400000 games |  1826s] eval(N=1000): mean=   12724 median=   9621 max=   62343 | 3072= 0.0% 6144= 0.0%
[ 1600000 games |  2136s] eval(N=1000): mean=   13098 median=   9855 max=   69078 | 3072= 0.0% 6144= 0.0%
[ 1800000 games |  2456s] eval(N=1000): mean=   14581 median=   9903 max=   69072 | 3072= 0.0% 6144= 0.0%
[ 2000000 games |  2775s] eval(N=1000): mean=   14078 median=   9864 max=   67308 | 3072= 0.0% 6144= 0.0%
[ 2200000 games |  3097s] eval(N=1000): mean=   14183 median=   9885 max=   81141 | 3072= 0.0% 6144= 0.0%
[ 2400000 games |  3435s] eval(N=1000): mean=   15520 median=  10047 max=   79869 | 3072= 0.0% 6144= 0.0%
[ 2600000 games |  3776s] eval(N=1000): mean=   15304 median=   9960 max=   69630 | 3072= 0.0% 6144= 0.0%
[ 2800000 games |  4119s] eval(N=1000): mean=   14915 median=   9960 max=   65976 | 3072= 0.0% 6144= 0.0%
[ 3000000 games |  4462s] eval(N=1000): mean=   15055 median=   9954 max=   69630 | 3072= 0.0% 6144= 0.0%
[ 3200000 games |  4809s] eval(N=1000): mean=   15571 median=  10089 max=   71061 | 3072= 0.0% 6144= 0.0%
[ 3400000 games |  5157s] eval(N=1000): mean=   15407 median=  10107 max=   70383 | 3072= 0.0% 6144= 0.0%
[ 3600000 games |  5507s] eval(N=1000): mean=   16260 median=  10629 max=   68940 | 3072= 0.0% 6144= 0.0%
[ 3800000 games |  5859s] eval(N=1000): mean=   16066 median=  10152 max=   87822 | 3072= 0.0% 6144= 0.0%
[ 4000000 games |  6211s] eval(N=1000): mean=   16813 median=  19866 max=   82737 | 3072= 0.0% 6144= 0.0%
[ 4200000 games |  6555s] eval(N=1000): mean=   16139 median=  10182 max=   85773 | 3072= 0.0% 6144= 0.0%
[ 4400000 games |  6903s] eval(N=1000): mean=   16339 median=  10482 max=   80160 | 3072= 0.0% 6144= 0.0%
[ 4600000 games |  7253s] eval(N=1000): mean=   16643 median=  19815 max=   69627 | 3072= 0.0% 6144= 0.0%
[ 4800000 games |  7606s] eval(N=1000): mean=   16601 median=  10581 max=   69147 | 3072= 0.0% 6144= 0.0%
[ 5000000 games |  7963s] eval(N=1000): mean=   17717 median=  20643 max=   82032 | 3072= 0.0% 6144= 0.0%
[ 5200000 games |  8321s] eval(N=1000): mean=   17200 median=  13464 max=   73599 | 3072= 0.0% 6144= 0.0%
[ 5400000 games |  8678s] eval(N=1000): mean=   17823 median=  20895 max=   81945 | 3072= 0.0% 6144= 0.0%
