nohup: ignoring input
Building train...
Resuming big2+const-alpha=0.1 from models/ntuple_big2.gob (117275545 bytes): +25000000 games (seeds from 25000000) -> models/ntuple_big2.gob
Resumed network from models/ntuple_big2.gob (8 tuples)
Training 25000000 games, alpha 0.100->0.100, 8 tuples, eval seeds 1..1000 (train seeds from 25000000)
[       0 games |     0s] eval(N=1000): mean=   16506 median=  10011 max=   88551 | 3072= 0.0% 6144= 0.0%
[  500000 games |  1417s] eval(N=1000): mean=   16344 median=  10065 max=   74529 | 3072= 0.0% 6144= 0.0%
[ 1000000 games |  2817s] eval(N=1000): mean=   16645 median=   9963 max=  180453 | 3072= 0.1% 6144= 0.0%
[ 1500000 games |  4315s] eval(N=1000): mean=   16497 median=  10098 max=   75168 | 3072= 0.0% 6144= 0.0%
[ 2000000 games |  5894s] eval(N=1000): mean=   17220 median=  10113 max=  256035 | 3072= 0.1% 6144= 0.0%
[ 2500000 games |  7394s] eval(N=1000): mean=   17189 median=  10122 max=   81942 | 3072= 0.0% 6144= 0.0%
[ 3000000 games |  8898s] eval(N=1000): mean=   17254 median=  10728 max=   75849 | 3072= 0.0% 6144= 0.0%
[ 3500000 games | 10348s] eval(N=1000): mean=   17264 median=  10152 max=   81999 | 3072= 0.0% 6144= 0.0%
[ 4000000 games | 11776s] eval(N=1000): mean=   18575 median=  20730 max=   82788 | 3072= 0.0% 6144= 0.0%
[ 4500000 games | 13219s] eval(N=1000): mean=   17955 median=  10485 max=   81876 | 3072= 0.0% 6144= 0.0%
[ 5000000 games | 14651s] eval(N=1000): mean=   19301 median=  20742 max=   86778 | 3072= 0.0% 6144= 0.0%
[ 5500000 games | 16093s] eval(N=1000): mean=   18965 median=  20634 max=   92931 | 3072= 0.0% 6144= 0.0%
[ 6000000 games | 17546s] eval(N=1000): mean=   19125 median=  19941 max=   79575 | 3072= 0.0% 6144= 0.0%
[ 6500000 games | 19021s] eval(N=1000): mean=   18932 median=  20076 max=   84069 | 3072= 0.0% 6144= 0.0%
