nohup: ignoring input
Building train-ms...
T10 multi-stage: warm-start models/ntuple_big.gob (72702310 bytes), stages=10,13, big, alpha=0.1, 20000000 games, seeds from 100000000 -> models/ntuple_ms.gob
Multi-stage: 3 stages, index bounds [10 13], warm-start models/ntuple_big.gob, 4 tuples/stage, eval seeds 1..1000 (train from 100000000)
Stage map: idx[0,10) | idx[10,13) | idx>=13
[       0 games |     0s] eval(N=1000): mean=   23507 median=  22806 max=   88347 | 3072= 0.0% 6144= 0.0% | touched [0 0 0]
[  500000 games |  1269s] eval(N=1000): mean=   25785 median=  23058 max=  187038 | 3072= 0.1% 6144= 0.0% | touched [94127894 103475188 1354]
[ 1000000 games |  2526s] eval(N=1000): mean=   25134 median=  23001 max=   86409 | 3072= 0.0% 6144= 0.0% | touched [187531315 208145787 4131]
[ 1500000 games |  3793s] eval(N=1000): mean=   25842 median=  23148 max=   99678 | 3072= 0.0% 6144= 0.0% | touched [280517485 313746959 6437]
[ 2000000 games |  5040s] eval(N=1000): mean=   25170 median=  22992 max=   84606 | 3072= 0.0% 6144= 0.0% | touched [373413912 419843914 7275]
[ 2500000 games |  6244s] eval(N=1000): mean=   25277 median=  23007 max=   87720 | 3072= 0.0% 6144= 0.0% | touched [465985681 526775782 8811]
[ 3000000 games |  7503s] eval(N=1000): mean=   25023 median=  22974 max=   86640 | 3072= 0.0% 6144= 0.0% | touched [558146473 634306076 10583]
[ 3500000 games |  8726s] eval(N=1000): mean=   25533 median=  23013 max=   87930 | 3072= 0.0% 6144= 0.0% | touched [649901755 742580521 11846]
[ 4000000 games |  9953s] eval(N=1000): mean=   26676 median=  23148 max=   88845 | 3072= 0.0% 6144= 0.0% | touched [741243448 851919733 13917]
[ 4500000 games | 11192s] eval(N=1000): mean=   25401 median=  23001 max=   88296 | 3072= 0.0% 6144= 0.0% | touched [832279772 961845326 15607]
[ 5000000 games | 12390s] eval(N=1000): mean=   26475 median=  23001 max=   86172 | 3072= 0.0% 6144= 0.0% | touched [923073585 1072363948 17747]
[ 5500000 games | 13616s] eval(N=1000): mean=   26753 median=  23391 max=   85608 | 3072= 0.0% 6144= 0.0% | touched [1013746516 1183197394 19399]
[ 6000000 games | 14838s] eval(N=1000): mean=   25448 median=  23055 max=   88557 | 3072= 0.0% 6144= 0.0% | touched [1104268859 1294184545 21095]
[ 6500000 games | 16046s] eval(N=1000): mean=   25760 median=  23160 max=  178614 | 3072= 0.1% 6144= 0.0% | touched [1194708440 1405698317 22781]
[ 7000000 games | 17252s] eval(N=1000): mean=   26144 median=  23457 max=   89799 | 3072= 0.0% 6144= 0.0% | touched [1285091269 1517604572 24809]
[ 7500000 games | 18469s] eval(N=1000): mean=   25427 median=  22962 max=   89874 | 3072= 0.0% 6144= 0.0% | touched [1375350883 1629603592 26841]
[ 8000000 games | 19739s] eval(N=1000): mean=   25705 median=  22992 max=   85509 | 3072= 0.0% 6144= 0.0% | touched [1465551488 1741793381 27918]
[ 8500000 games | 20984s] eval(N=1000): mean=   27133 median=  23457 max=   88422 | 3072= 0.0% 6144= 0.0% | touched [1555772369 1853976038 29491]
[ 9000000 games | 22250s] eval(N=1000): mean=   26247 median=  23052 max=   86286 | 3072= 0.0% 6144= 0.0% | touched [1645935445 1966027831 32329]
